,MSCI_COLCAP_Valor hoy
BCOLOMBIA_Precio cierre,0.7583684578749561
BHI_Precio cierre,0.8021401801057239
BOGOTA_Precio cierre,0.08598007850595467
BVC_Precio cierre,0.3323566325071738
CELSIA_Precio cierre,0.47304580487940295
CEMARGOS_Precio cierre,0.700244556826255
CNEC_Precio cierre,-0.42462867823841866
CONCONCRETO_Precio cierre,0.429239840048058
CORFICOL_Precio cierre,0.22139797417573123
ECOPETROL_Precio cierre,0.3197054121843235
ENKA_Precio cierre,0.2513866953040107
ETB_Precio cierre,-0.06589170610166512
EXITO_Precio cierre,0.08290277511120148
FABRICATO_Precio cierre,0.25653971245796303
GEB_Precio cierre,0.642623476958196
GRUBOLIVAR_Precio cierre,0.6317880122601733
GRUPOARGOS_Precio cierre,0.7520426643401994
GRUPOAVAL_Precio cierre,0.00665492390690759
GRUPOSURA_Precio cierre,0.324736548220809
GXTESCOL_Precio cierre,0.019294445366798814
HCOLSEL_Precio cierre,0.9215730008713997
ICOLCAP_Precio cierre,0.9938334194876376
ISA_Precio cierre,0.5407676866321186
MINEROS_Precio cierre,0.6226611461643555
NUTRESA_Precio cierre,0.43631177629091694
PEI_Precio cierre,0.6435467632239448
PFAVAL_Precio cierre,0.27290739714287726
PFBCOLOMBIA_Precio cierre,0.9168308768884175
PFCEMARGOS_Precio cierre,0.5959062407532492
PFCORFICOL_Precio cierre,0.28135929587898656
PFDAVVNDA_Precio cierre,0.2597819870786319
PFGRUPARG_Precio cierre,0.6943336171377837
PFGRUPOSURA_Precio cierre,0.8211630813138302
PROMIGAS_Precio cierre,0.5066934442937101
TERPEL_Precio cierre,0.7846783980372675
