,5 days,30 days,90 days,180 days,252 days
BCOLOMBIA_Precio cierre,0.9164680045311037,0.875994270560081,0.9590143131859429,0.9772056059559486,0.9490000497790058
BHI_Precio cierre,-0.8008105704052277,0.1686057726902094,0.6739554974915625,0.6354406258489804,0.444847129045859
BOGOTA_Precio cierre,0.7971908842346804,0.8444631428658302,0.9300633486685185,0.8880164052099089,0.8516664287881606
BVC_Precio cierre,0.2824329053823928,-0.6363085764610507,0.7186115506146835,0.8560134511709862,0.7726599771012616
CELSIA_Precio cierre,0.13358664758456434,0.4838701651641991,0.6083596920197373,0.26661335354492904,-0.03167926818131184
CEMARGOS_Precio cierre,0.5317834952654112,0.6542643222122259,0.11857638009631834,0.7534100182600086,0.7724921873859409
CNEC_Precio cierre,0.6111232227750898,-0.46405851774929363,-0.4465227163810398,-0.2113958368295707,-0.35790518333311794
CONCONCRETO_Precio cierre,-0.3760819791130789,0.532161952396079,-0.741225369724932,0.6185323172612199,0.672215203242653
CORFICOL_Precio cierre,0.24781186534776303,0.7548946557969968,0.4943538179821393,0.8263784302428416,0.8424047792387872
ECOPETROL_Precio cierre,0.5242504488446268,-0.15979729633955386,0.23816643500259865,0.42543808502127434,0.00289429272342965
ENKA_Precio cierre,-inf,0.7108279147874228,0.8820937050005089,0.8336196585326606,0.668637198429245
ETB_Precio cierre,0.3596446457861849,0.5285855878414881,-0.7755511966673905,-0.9281254845841289,-0.7820920105909722
EXITO_Precio cierre,-0.4978799135032813,0.5319520294570103,-0.00033906342558943106,-0.7825640177546918,-0.7836955832587146
FABRICATO_Precio cierre,-inf,,0.6898159199882353,-0.5296349322382858,-0.5819914122553491
GEB_Precio cierre,0.29039678371053745,0.6379497295528883,0.864344098928315,0.91177191920567,0.9137358525904082
GRUBOLIVAR_Precio cierre,0.6616263907047951,0.264140728516283,0.8104936571975341,0.860755469705047,0.8663069761244787
GRUPOARGOS_Precio cierre,0.3178821322271586,0.7338390845986508,0.7524183146272356,0.8265886051009935,0.7393286945274349
GRUPOAVAL_Precio cierre,-inf,inf,,inf,-inf
GRUPOSURA_Precio cierre,-0.01628465063777059,0.6460346059132452,0.8855479412841404,0.9151107294474303,0.8816807841409988
GXTESCOL_Precio cierre,-inf,0.5069994048098275,0.5053338974060996,-0.4580003655192195,-0.0666857086753221
HCOLSEL_Precio cierre,-0.5519011397795173,0.815182376962989,0.9685972135610825,0.9879636449263846,0.9877385926350354
ICOLCAP_Precio cierre,0.8680494177354391,0.5616142540362096,0.9635354425170333,0.9903270538688825,0.9906352810483526
ISA_Precio cierre,0.6945607393528274,0.7691943393418311,0.8796333050957614,0.8616313108020129,0.8151804403064842
MINEROS_Precio cierre,-0.011641501024392,0.6110284351265868,0.783700725453915,0.9359678062747452,0.9003070091461612
NUTRESA_Precio cierre,0.11983374973719282,0.4092699530180719,0.9046625451960035,0.9576483325186744,0.8358352696912622
PEI_Precio cierre,-0.5390328868911346,0.5804010543934277,0.302710038221206,0.3396385137893894,-0.015425976260886385
PFAVAL_Precio cierre,-inf,inf,,,-inf
PFBCOLOMBIA_Precio cierre,0.7119405027544806,0.8975707597329152,0.9528389284591695,0.9842424982641994,0.9705046851933795
PFCEMARGOS_Precio cierre,0.35964464573638777,0.5388348902353224,-0.515302586695473,0.6533297454165868,0.672141620913685
PFCORFICOL_Precio cierre,-0.06886027256751322,0.41751720470004255,0.8990551016053557,0.9222388351760105,0.9046214409981846
PFDAVVNDA_Precio cierre,0.8117945348300533,0.7363283951213361,0.7905291450767665,0.847139872792812,0.6818144743387649
PFGRUPARG_Precio cierre,0.029222851552183658,-0.008009602873662423,0.7547492348475431,0.876336478783837,0.8558955728067696
PFGRUPOSURA_Precio cierre,-0.6410048982373464,-0.4633217441308288,0.9104441165263223,0.9724972771885908,0.9732689814860634
PROMIGAS_Precio cierre,-0.15724033113902525,0.44105721529079667,-0.7797693226135547,-0.9117269594676071,-0.8121025343737136
TERPEL_Precio cierre,-0.547245073823293,0.5531382188201103,-0.1833720731876135,0.6823552953674512,0.6737181240125023
